"LatestDataTable" "ResourceID" "Subject" "Title" "Description" "Notes" "Caveats" "Source" "SourceURL" "Frequency" "Var1" "Var2" "Var3" "Var4" "Var5" "Var6"
"1" "" "CPACT6" "Activity" "Fuel supply volumes" "Z Energy monthly fuel supply volumes" NA NA "Z Energy" "https://www.nzx.com/companies/ZEL/announcements" "Monthly" "Fuel type" NA NA NA NA NA
"ResourceID" "Geo" "GeoUnit" "Duration" "Period" "Label1" "Label2" "Label3" "Label4" "Label5" "Label6" "Value" "Unit" "Measure" "NullReason" "Multiplier" "Status"
"ResourceID" "Geo" "GeoUnit" "Duration" "Period" "Label1" "Label2" "Label3" "Label4" "Label5" "Label6" "Value" "Unit" "Measure" "NullReason" "Multiplier" "Status"
"1" "CPCON1" NA NA "P7D" 2015-02-28 NA NA NA NA NA NA -0.56610130368671 "Index" "Economic sentiment" NA "0" NA
"2" "CPCON1" NA NA "P7D" 2015-03-07 NA NA NA NA NA NA -0.603191264056318 "Index" "Economic sentiment" NA "0" NA
"3" "CPCON1" NA NA "P7D" 2015-03-14 NA NA NA NA NA NA -0.62767557492106 "Index" "Economic sentiment" NA "0" NA
"4" "CPCON1" NA NA "P7D" 2015-03-21 NA NA NA NA NA NA -0.712681708586229 "Index" "Economic sentiment" NA "0" NA
"5" "CPCON1" NA NA "P7D" 2015-03-28 NA NA NA NA NA NA -0.412643448836401 "Index" "Economic sentiment" NA "0" NA
"6" "CPCON1" NA NA "P7D" 2015-04-04 NA NA NA NA NA NA -0.480566636187807 "Index" "Economic sentiment" NA "0" NA
"7" "CPCON1" NA NA "P7D" 2015-04-11 NA NA NA NA NA NA -0.267489739599684 "Index" "Economic sentiment" NA "0" NA
"8" "CPCON1" NA NA "P7D" 2015-04-18 NA NA NA NA NA NA -0.577118227380665 "Index" "Economic sentiment" NA "0" NA
"9" "CPCON1" NA NA "P7D" 2015-04-25 NA NA NA NA NA NA -0.697847362218445 "Index" "Economic sentiment" NA "0" NA
"10" "CPCON1" NA NA "P7D" 2015-05-02 NA NA NA NA NA NA -0.68383197882355 "Index" "Economic sentiment" NA "0" NA
"11" "CPCON1" NA NA "P7D" 2015-05-09 NA NA NA NA NA NA -0.456686386342538 "Index" "Economic sentiment" NA "0" NA
"12" "CPCON1" NA NA "P7D" 2015-05-16 NA NA NA NA NA NA -0.796613933124678 "Index" "Economic sentiment" NA "0" NA
"13" "CPCON1" NA NA "P7D" 2015-05-23 NA NA NA NA NA NA -0.873617011414115 "Index" "Economic sentiment" NA "0" NA
"14" "CPCON1" NA NA "P7D" 2015-05-30 NA NA NA NA NA NA -0.553593334761388 "Index" "Economic sentiment" NA "0" NA
"15" "CPCON1" NA NA "P7D" 2015-06-06 NA NA NA NA NA NA -0.791546005219558 "Index" "Economic sentiment" NA "0" NA
"16" "CPCON1" NA NA "P7D" 2015-06-13 NA NA NA NA NA NA -0.798884695634233 "Index" "Economic sentiment" NA "0" NA
"17" "CPCON1" NA NA "P7D" 2015-06-20 NA NA NA NA NA NA -0.832452222951716 "Index" "Economic sentiment" NA "0" NA
"18" "CPCON1" NA NA "P7D" 2015-06-27 NA NA NA NA NA NA -0.555860820004748 "Index" "Economic sentiment" NA "0" NA
"19" "CPCON1" NA NA "P7D" 2015-07-04 NA NA NA NA NA NA -0.724910785361342 "Index" "Economic sentiment" NA "0" NA
"20" "CPCON1" NA NA "P7D" 2015-07-11 NA NA NA NA NA NA -0.935591647686903 "Index" "Economic sentiment" NA "0" NA
"21" "CPCON1" NA NA "P7D" 2015-07-18 NA NA NA NA NA NA -0.932340118952217 "Index" "Economic sentiment" NA "0" NA
"22" "CPCON1" NA NA "P7D" 2015-07-25 NA NA NA NA NA NA -0.414994910656456 "Index" "Economic sentiment" NA "0" NA
"23" "CPCON1" NA NA "P7D" 2015-08-01 NA NA NA NA NA NA -0.751382387570908 "Index" "Economic sentiment" NA "0" NA
"24" "CPCON1" NA NA "P7D" 2015-08-08 NA NA NA NA NA NA -0.486865611282091 "Index" "Economic sentiment" NA "0" NA
"25" "CPCON1" NA NA "P7D" 2015-08-15 NA NA NA NA NA NA -0.548560415853995 "Index" "Economic sentiment" NA "0" NA
"26" "CPCON1" NA NA "P7D" 2015-08-22 NA NA NA NA NA NA -0.5143182707213 "Index" "Economic sentiment" NA "0" NA
"27" "CPCON1" NA NA "P7D" 2015-08-29 NA NA NA NA NA NA -0.724612510312436 "Index" "Economic sentiment" NA "0" NA
"28" "CPCON1" NA NA "P7D" 2015-09-05 NA NA NA NA NA NA -0.695665269586879 "Index" "Economic sentiment" NA "0" NA
"29" "CPCON1" NA NA "P7D" 2015-09-12 NA NA NA NA NA NA -0.932553441478377 "Index" "Economic sentiment" NA "0" NA
"30" "CPCON1" NA NA "P7D" 2015-09-19 NA NA NA NA NA NA -0.488392257804475 "Index" "Economic sentiment" NA "0" NA
"31" "CPCON1" NA NA "P7D" 2015-09-26 NA NA NA NA NA NA -0.337618363123348 "Index" "Economic sentiment" NA "0" NA
"32" "CPCON1" NA NA "P7D" 2015-10-03 NA NA NA NA NA NA -0.703458015692084 "Index" "Economic sentiment" NA "0" NA
"33" "CPCON1" NA NA "P7D" 2015-10-10 NA NA NA NA NA NA -0.381312538902365 "Index" "Economic sentiment" NA "0" NA
"34" "CPCON1" NA NA "P7D" 2015-10-17 NA NA NA NA NA NA -0.621101974129192 "Index" "Economic sentiment" NA "0" NA
"35" "CPCON1" NA NA "P7D" 2015-10-31 NA NA NA NA NA NA -0.451271966451566 "Index" "Economic sentiment" NA "0" NA
"36" "CPCON1" NA NA "P7D" 2015-11-07 NA NA NA NA NA NA -0.542114486468825 "Index" "Economic sentiment" NA "0" NA
"37" "CPCON1" NA NA "P7D" 2015-11-14 NA NA NA NA NA NA -0.512090637923942 "Index" "Economic sentiment" NA "0" NA
"38" "CPCON1" NA NA "P7D" 2015-11-21 NA NA NA NA NA NA -0.875432772591728 "Index" "Economic sentiment" NA "0" NA
"39" "CPCON1" NA NA "P7D" 2015-11-28 NA NA NA NA NA NA -0.792190746907864 "Index" "Economic sentiment" NA "0" NA
"40" "CPCON1" NA NA "P7D" 2015-12-05 NA NA NA NA NA NA -0.542879218261183 "Index" "Economic sentiment" NA "0" NA
"41" "CPCON1" NA NA "P7D" 2015-12-12 NA NA NA NA NA NA -0.788176264458421 "Index" "Economic sentiment" NA "0" NA
"42" "CPCON1" NA NA "P7D" 2015-12-19 NA NA NA NA NA NA -0.591451887746452 "Index" "Economic sentiment" NA "0" NA
"43" "CPCON1" NA NA "P7D" 2015-12-26 NA NA NA NA NA NA -0.28725499629562 "Index" "Economic sentiment" NA "0" NA
"44" "CPCON1" NA NA "P7D" 2016-01-02 NA NA NA NA NA NA -0.51038820672598 "Index" "Economic sentiment" NA "0" NA
"45" "CPCON1" NA NA "P7D" 2016-01-09 NA NA NA NA NA NA -0.698805809285647 "Index" "Economic sentiment" NA "0" NA
"46" "CPCON1" NA NA "P7D" 2016-01-16 NA NA NA NA NA NA -0.643338799970664 "Index" "Economic sentiment" NA "0" NA
"47" "CPCON1" NA NA "P7D" 2016-01-23 NA NA NA NA NA NA -0.692633113448686 "Index" "Economic sentiment" NA "0" NA
"48" "CPCON1" NA NA "P7D" 2016-01-30 NA NA NA NA NA NA -0.66747534742681 "Index" "Economic sentiment" NA "0" NA
"49" "CPCON1" NA NA "P7D" 2016-02-06 NA NA NA NA NA NA -0.611761238052628 "Index" "Economic sentiment" NA "0" NA
"50" "CPCON1" NA NA "P7D" 2016-02-13 NA NA NA NA NA NA -0.528272530633312 "Index" "Economic sentiment" NA "0" NA
"51" "CPCON1" NA NA "P7D" 2016-02-20 NA NA NA NA NA NA -0.147690896190662 "Index" "Economic sentiment" NA "0" NA
"52" "CPCON1" NA NA "P7D" 2016-02-27 NA NA NA NA NA NA -0.0823381230369094 "Index" "Economic sentiment" NA "0" NA
"53" "CPCON1" NA NA "P7D" 2016-03-05 NA NA NA NA NA NA -0.194644558877049 "Index" "Economic sentiment" NA "0" NA
"54" "CPCON1" NA NA "P7D" 2016-03-12 NA NA NA NA NA NA -0.545876379630666 "Index" "Economic sentiment" NA "0" NA
"55" "CPCON1" NA NA "P7D" 2016-03-19 NA NA NA NA NA NA -0.237428036610005 "Index" "Economic sentiment" NA "0" NA
"56" "CPCON1" NA NA "P7D" 2016-03-26 NA NA NA NA NA NA -0.440679185831101 "Index" "Economic sentiment" NA "0" NA
"57" "CPCON1" NA NA "P7D" 2016-04-02 NA NA NA NA NA NA -0.252465907026229 "Index" "Economic sentiment" NA "0" NA
"58" "CPCON1" NA NA "P7D" 2016-04-09 NA NA NA NA NA NA -0.0840600271395051 "Index" "Economic sentiment" NA "0" NA
"59" "CPCON1" NA NA "P7D" 2016-04-16 NA NA NA NA NA NA -0.0996587879274915 "Index" "Economic sentiment" NA "0" NA
"60" "CPCON1" NA NA "P7D" 2016-04-23 NA NA NA NA NA NA -0.00610722019791187 "Index" "Economic sentiment" NA "0" NA
"61" "CPCON1" NA NA "P7D" 2016-04-30 NA NA NA NA NA NA -0.866249911358267 "Index" "Economic sentiment" NA "0" NA
"62" "CPCON1" NA NA "P7D" 2016-05-07 NA NA NA NA NA NA -0.329700670324351 "Index" "Economic sentiment" NA "0" NA
"63" "CPCON1" NA NA "P7D" 2016-05-14 NA NA NA NA NA NA -0.685085620808096 "Index" "Economic sentiment" NA "0" NA
"64" "CPCON1" NA NA "P7D" 2016-05-21 NA NA NA NA NA NA -0.297257802722944 "Index" "Economic sentiment" NA "0" NA
"65" "CPCON1" NA NA "P7D" 2016-05-28 NA NA NA NA NA NA -0.406216578531757 "Index" "Economic sentiment" NA "0" NA
"66" "CPCON1" NA NA "P7D" 2016-06-04 NA NA NA NA NA NA -0.257159259786363 "Index" "Economic sentiment" NA "0" NA
"67" "CPCON1" NA NA "P7D" 2016-06-11 NA NA NA NA NA NA -0.534883118920184 "Index" "Economic sentiment" NA "0" NA
"68" "CPCON1" NA NA "P7D" 2016-06-18 NA NA NA NA NA NA -0.268007658646364 "Index" "Economic sentiment" NA "0" NA
"69" "CPCON1" NA NA "P7D" 2016-06-25 NA NA NA NA NA NA -0.187641713771963 "Index" "Economic sentiment" NA "0" NA
"70" "CPCON1" NA NA "P7D" 2016-07-02 NA NA NA NA NA NA -0.379066206633248 "Index" "Economic sentiment" NA "0" NA
"71" "CPCON1" NA NA "P7D" 2016-07-09 NA NA NA NA NA NA -0.368475519763576 "Index" "Economic sentiment" NA "0" NA
"72" "CPCON1" NA NA "P7D" 2016-07-16 NA NA NA NA NA NA -0.693825429657413 "Index" "Economic sentiment" NA "0" NA
"73" "CPCON1" NA NA "P7D" 2016-07-23 NA NA NA NA NA NA -1.03412480240414 "Index" "Economic sentiment" NA "0" NA
"74" "CPCON1" NA NA "P7D" 2016-07-30 NA NA NA NA NA NA -0.477379369000619 "Index" "Economic sentiment" NA "0" NA
"75" "CPCON1" NA NA "P7D" 2016-08-06 NA NA NA NA NA NA -0.23929468870309 "Index" "Economic sentiment" NA "0" NA
"76" "CPCON1" NA NA "P7D" 2016-08-13 NA NA NA NA NA NA -0.267960117253361 "Index" "Economic sentiment" NA "0" NA
"77" "CPCON1" NA NA "P7D" 2016-08-20 NA NA NA NA NA NA -0.284445240444165 "Index" "Economic sentiment" NA "0" NA
"78" "CPCON1" NA NA "P7D" 2016-08-27 NA NA NA NA NA NA -0.277427790052845 "Index" "Economic sentiment" NA "0" NA
"79" "CPCON1" NA NA "P7D" 2016-09-03 NA NA NA NA NA NA -0.217117532303235 "Index" "Economic sentiment" NA "0" NA
"80" "CPCON1" NA NA "P7D" 2016-09-10 NA NA NA NA NA NA -0.197983536358141 "Index" "Economic sentiment" NA "0" NA
"81" "CPCON1" NA NA "P7D" 2016-09-17 NA NA NA NA NA NA -0.393742828349705 "Index" "Economic sentiment" NA "0" NA
"82" "CPCON1" NA NA "P7D" 2016-09-24 NA NA NA NA NA NA -0.298336923040677 "Index" "Economic sentiment" NA "0" NA
"83" "CPCON1" NA NA "P7D" 2016-10-01 NA NA NA NA NA NA -0.474361683456336 "Index" "Economic sentiment" NA "0" NA
"84" "CPCON1" NA NA "P7D" 2016-10-08 NA NA NA NA NA NA -0.335556161093432 "Index" "Economic sentiment" NA "0" NA
"85" "CPCON1" NA NA "P7D" 2016-10-15 NA NA NA NA NA NA -0.312255088237638 "Index" "Economic sentiment" NA "0" NA
"86" "CPCON1" NA NA "P7D" 2016-10-22 NA NA NA NA NA NA -0.334675759189386 "Index" "Economic sentiment" NA "0" NA
"87" "CPCON1" NA NA "P7D" 2016-10-29 NA NA NA NA NA NA -0.187695950575528 "Index" "Economic sentiment" NA "0" NA
